Level	Rule Name	Subject	Property	Value
WARN	missing_xrefs	obo:HMDM_0000264	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000265	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000266	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000269	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000270	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000271	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000272	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000274	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000279	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000280	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000281	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000284	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000289	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000296	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000308	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000314	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000315	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000321	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000323	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000326	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000330	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000334	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000337	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000340	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000342	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000345	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000348	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000351	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000354	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000357	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000360	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000364	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000368	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000371	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000374	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000378	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000382	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000386	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000390	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000394	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000398	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000402	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000406	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000409	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000413	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000416	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000420	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000424	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000428	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000431	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000435	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000439	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000443	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000447	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000451	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000454	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000458	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000460	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000462	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000466	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000467	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000473	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000482	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000486	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000487	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000488	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000489	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000490	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000491	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000493	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000494	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000495	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000496	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000497	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000499	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000501	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000503	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000707	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000708	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000777	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000782	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000783	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000784	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000785	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000787	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000789	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000790	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000791	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000792	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000793	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000820	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000824	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000825	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000830	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000833	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000834	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000839	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000843	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000844	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000845	oboInOwl:hasDbXref	
